Nombre_Jugador,Posición,Equipo,Edad,Minutos_Jugados,Puntos_Totales,Tiros_Campo_Encestados,Tiros_Campo_Intentados,Triples_Encestados,Triples_Intentados,Porcentaje_Triples,Tiros_Libres_Encestados,Tiros_Libres_Intentados,Rebotes_Ofensivos,Rebotes_Defensivos,Rebotes_Totales,Asistencias,Pérdidas,Robos,Bloqueos,Faltas_Personales,Doble_Dobles,Triple_Dobles,Año
Clint Capela,C,ATL,28,1730.1,779.0,350.0,536.0,0.0,1.0,0.0,79.0,131.0,258.0,459.0,717.0,58.0,54.0,45.0,79.0,139.0,35,0,2023
Tari Eason,F,HOU,21,1767.2,760.0,296.0,660.0,59.0,172.0,34.3,109.0,145.0,195.0,301.0,496.0,88.0,101.0,96.0,47.0,189.0,7,0,2023
Bogdan Bogdanovic,SG,ATL,30,1508.6,756.0,273.0,611.0,146.0,360.0,40.6,64.0,77.0,23.0,142.0,165.0,150.0,65.0,43.0,18.0,86.0,0,0,2023
Jalen McDaniels,PF,PHI,25,1912.9,755.0,281.0,617.0,77.0,232.0,33.2,116.0,138.0,63.0,283.0,346.0,130.0,93.0,83.0,34.0,209.0,3,0,2023
Zion Williamson,PF,NOP,22,956.1,754.0,285.0,469.0,7.0,19.0,36.8,177.0,248.0,58.0,144.0,202.0,133.0,99.0,32.0,16.0,65.0,5,0,2023
Grayson Allen,SG,MIL,27,1972.1,750.0,245.0,557.0,146.0,366.0,39.9,114.0,126.0,61.0,176.0,237.0,163.0,72.0,62.0,14.0,117.0,0,0,2023
Josh Hart,SG,NYK,28,2454.0,743.0,275.0,520.0,61.0,164.0,37.2,132.0,176.0,142.0,451.0,593.0,290.0,117.0,88.0,21.0,195.0,10,0,2023
Aaron Nesmith,SF,IND,23,1816.4,738.0,252.0,590.0,115.0,314.0,36.6,119.0,142.0,62.0,215.0,277.0,98.0,75.0,55.0,34.0,235.0,1,0,2023
Gordon Hayward,SF,CHA,33,1576.9,733.0,276.0,581.0,52.0,160.0,32.5,129.0,159.0,33.0,182.0,215.0,206.0,99.0,42.0,12.0,70.0,2,0,2023
Zach Collins,PF,SAS,25,1440.6,731.0,284.0,548.0,55.0,147.0,37.4,108.0,142.0,116.0,286.0,402.0,180.0,129.0,37.0,49.0,199.0,9,0,2023
Marcus Morris Sr.,SF,LAC,33,1825.1,728.0,274.0,643.0,112.0,307.0,36.5,68.0,87.0,29.0,229.0,258.0,114.0,56.0,42.0,21.0,136.0,2,0,2023
Coby White,PG,CHI,23,1730.2,715.0,263.0,594.0,128.0,344.0,37.2,61.0,70.0,16.0,196.0,212.0,204.0,74.0,54.0,6.0,122.0,1,0,2023
Terance Mann,SG,LAC,26,1872.2,713.0,272.0,524.0,77.0,198.0,38.9,92.0,118.0,77.0,199.0,276.0,184.0,80.0,42.0,22.0,149.0,1,0,2023
Chris Boucher,PF,TOR,30,1523.5,712.0,261.0,529.0,62.0,189.0,32.8,128.0,168.0,157.0,264.0,421.0,29.0,41.0,47.0,64.0,143.0,9,0,2023
Andrew Nembhard,PG,IND,23,2073.5,709.0,284.0,644.0,92.0,263.0,35.0,49.0,62.0,35.0,164.0,199.0,341.0,126.0,70.0,13.0,179.0,5,0,2023
Rui Hachimura,PF,LAL,25,1466.0,707.0,284.0,584.0,51.0,160.0,31.9,88.0,119.0,53.0,230.0,283.0,58.0,53.0,19.0,26.0,72.0,2,0,2023
Daniel Gafford,C,WAS,24,1604.2,705.0,289.0,395.0,0.0,0.0,0.0,127.0,187.0,163.0,270.0,433.0,84.0,85.0,33.0,99.0,187.0,10,0,2023
Jaylen Nowell,SG,MIN,23,1251.7,704.0,280.0,625.0,67.0,232.0,28.9,77.0,99.0,36.0,134.0,170.0,132.0,65.0,42.0,5.0,101.0,0,0,2023
Devin Vassell,SG,SAS,22,1178.1,703.0,261.0,595.0,103.0,266.0,38.7,78.0,100.0,8.0,140.0,148.0,136.0,57.0,43.0,17.0,57.0,0,0,2023
Marcus Smart,PG,BOS,29,1956.8,703.0,250.0,602.0,115.0,342.0,33.6,88.0,118.0,46.0,145.0,191.0,382.0,143.0,93.0,23.0,172.0,6,0,2023
